Apple Inc. Common Stock	AAPL
SOC Telemed Inc. Class A Common Stock	TLMD
One Liberty Properties Inc. Common Stock	OLP
Qudian Inc. American Depositary Shares each representing one Class A Ordinary Share	QD
Bioceres Crop Solutions Corp. Ordinary Shares	BIOX
Ennis Inc. Common Stock	EBF
VectivBio Holding AG Ordinary Shares	VECT
Zynex Inc. Common Stock	ZYXI
Ontrak Inc. Common Stock	OTRK
Ontrak Inc. 9.50% Series A Cumulative Perpetual Preferred Stock	OTRKP
Sabine Royalty Trust Common Stock	SBR
American Vanguard Corporation Common Stock ($0.10 Par Value)	AVD
Naked Brand Group Limited Ordinary Shares	NAKD
NeoPhotonics Corporation Common Stock	NPTN
Perion Network Ltd. Ordinary Shares	PERI
Nouveau Monde Graphite Inc. Common Shares	NMG
First Community Bankshares Inc. (VA) Common Stock	FCBC
Intersect ENT Inc. Common Stock	XENT
Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE)	VKI
Metropolitan Bank Holding Corp. Common Stock	MCB
Gemini Therapeutics Inc. Common Stock	GMTX
Cellectis S.A. American Depositary Shares	CLLS
Forte Biosciences Inc. Common Stock	FBRX
U.S. Xpress Enterprises Inc. Class A Common Stock	USX
Genius Brands International Inc. Common Stock	GNUS
Hackett Group Inc (The). Common Stock	HCKT
Kimball Electronics Inc. Common Stock	KE
Triterras Inc. Class A Ordinary Shares	TRIT
Duluth Holdings Inc. Class B Common Stock	DLTH
Greenbox POS Common Stock	GBOX
Akebia Therapeutics Inc. Common Stock	AKBA
Silver Spike Acquisition Corp. Class A Ordinary Shares	SSPK
Silver Spike Acquisition Corp. Units	SSPKU
Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests	DMLP
Aterian Inc. Common Stock	ATER
Marine Products Corporation Common Stock	MPX
MBIA Inc. Common Stock	MBI
Garrett Motion Inc. Common Stock	GTX
Wells Fargo Income Opportunities Fund Common Shares	EAD
Codiak BioSciences Inc. Common Stock	CDAK
Arlo Technologies Inc. Common Stock	ARLO
Blackrock Debt Strategies Fund Inc. Common Stock	DSU
Royce Micro-Cap Trust Inc. Common Stock	RMT
American Public Education Inc. Common Stock	APEI
Nordic American Tankers Limited Common Stock	NAT
Turtle Beach Corporation Common Stock	HEAR
Blackrock MuniYield California Quality Fund Inc. Common Stock	MCA
Precision Drilling Corporation Common Stock	PDS
Virtus AllianzGI Convertible & Income Fund Common Shares of Beneficial Interest	NCV
Tredegar Corporation Common Stock	TG
Nuveen Corporate Income November 2021 Target Term Fund	JHB
Priority Technology Holdings Inc. Common Stock	PRTH
Venator Materials PLC Ordinary Shares	VNTR
First of Long Island Corporation (The) Common Stock	FLIC
Metalla Royalty & Streaming Ltd. Common Shares	MTA
Neuropace Inc. Common Stock	NPCE
Cooper-Standard Holdings Inc. Common Stock	CPS
Trilogy Metals Inc. Common Stock	TMQ
Mercantile Bank Corporation Common Stock	MBWM
Orchid Island Capital Inc. Common Stock	ORC
Poseida Therapeutics Inc. Common Stock	PSTX
Morgan Stanley China A Share Fund Inc. Common Stock	CAF
City Office REIT Inc. Common Stock	CIO
Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest	EFR
Biglari Holdings Inc. Class B Common Stock	BH
Kimbell Royalty Partners Common Units Representing Limited Partner Interests	KRP
Fly Leasing Limited	FLY
Preferred Apartment Communities Inc. Common Stock	APTS
Mogo Inc. Common Shares	MOGO
Harpoon Therapeutics Inc. Common Stock	HARP
Nautilus Inc. Common Stock	NLS
7GC & Co. Holdings Inc. Class A common stock	VII
7GC & Co. Holdings Inc. Unit	VIIAU
Mirum Pharmaceuticals Inc. Common Stock	MIRM
AerSale Corporation Common Stock	ASLE
First Trust High Income Long Short Fund Common Shares of Beneficial Interest	FSD
Waterstone Financial Inc. Common Stock (MD)	WSBF
Vapotherm Inc. Common Stock	VAPO
Achilles Therapeutics plc American Depositary Shares	ACHL
iHuman Inc. American depositary shares each representing five Class A ordinary shares	IH
RMG Acquisition Corp. III Class A Ordinary Shares	RMGC
RMG Acquisition Corp. III Unit	RMGCU
CADIZ Inc. Common Stock	CDZI
Equity Distribution Acquisition Corp. Class A Common Stock	EQD
Crescent Capital BDC Inc. Common stock	CCAP
Opthea Limited American Depositary Shares	OPT
Applied Therapeutics Inc. Common Stock	APLT
Akoustis Technologies Inc. Common Stock	AKTS
Annovis Bio Inc. Common Stock	ANVS
Kimball International Inc. Class B Common Stock	KBAL
XBiotech Inc. Common Stock	XBIT
Teekay Tankers Ltd.	TNK
Financial Institutions Inc. Common Stock	FISI
Orion Acquisition Corp. Class A common stock	OHPA
Orion Acquisition Corp. Unit	OHPAU
Montes Archimedes Acquisition Corp. Class A Common Stock	MAAC
Montes Archimedes Acquisition Corp. Unit	MAACU
Rain Therapeutics Inc. Common Stock	RAIN
Independent Bank Corporation Common Stock	IBCP
Selecta Biosciences Inc. Common Stock	SELB
Relmada Therapeutics Inc. Common Stock	RLMD
Blackrock MuniYield Quality Fund Inc. Common Stock	MQY
NexPoint Strategic Opportunities Fund	NHF
Motive Capital Corp Class A Ordinary Shares	MOTV
Greenwich LifeSciences Inc. Common Stock	GLSI
MasterCraft Boat Holdings Inc. Common Stock	MCFT
HH&L Acquisition Co. Class A Ordinary Shares	HHLA
SIGA Technologies Inc. Common Stock	SIGA
HOOKIPA Pharma Inc. Common Stock	HOOK
Mesabi Trust Common Stock	MSB
MidWestOne Financial Gp Common Stock	MOFG
Calumet Specialty Products Partners L.P. Common Units	CLMT
Solaris Oilfield Infrastructure Inc. Class A Common Stock	SOI
Northern Star Investment Corp. II Class A Common stock	NSTB
Senior Connect Acquisition Corp. I Class A Common Stock	SNRH
Senior Connect Acquisition Corp. I Unit	SNRHU
INDUS Realty Trust Inc. (MD) Common Stock	INDT
African Gold Acquisition Corporation Class A Ordinary Shares	AGAC
Regional Management Corp. Common Stock	RM
Pioneer Merger Corp. Unit	PACXU
Pioneer Merger Corp. Class A Ordinary Share	PACX
Supernova Partners Acquisition Company Inc. Class A Common Stock	SPNV
Business First Bancshares Inc. Common Stock	BFST
MVB Financial Corp. Common Stock	MVBF
Rayonier Advanced Materials Inc. Common Stock	RYAM
Altimmune Inc. Common Stock	ALT
Dragoneer Growth Opportunities Corp. III Class A Ordinary Shares	DGNU
Carney Technology Acquisition Corp. II Units	CTAQU
Carney Technology Acquisition Corp. II Class A Common Stock	CTAQ
Star Peak Corp II Class A Common Stock	STPC
CapStar Financial Holdings Inc. Common Stock	CSTR
Epiphany Technology Acquisition Corp. Class A Common Stock	EPHY
Epiphany Technology Acquisition Corp. Unit	EPHYU
Whole Earth Brands Inc. Class A Common Stock	FREE
Western Asset High Income Opportunity Fund Inc. Common Stock	HIO
PennantPark Floating Rate Capital Ltd. Common Stock	PFLT
Decarbonization Plus Acquisition Corporation II Class A Common stock	DCRN
Decarbonization Plus Acquisition Corporation II Unit	DCRNU
Amalgamated Financial Corp. Common Stock (DE)	AMAL
Loop Industries Inc. Common Stock	LOOP
Gores Metropoulos II Inc. Class A Common Stock	GMII
Gores Metropoulos II Inc. Unit	GMIIU
Red Robin Gourmet Burgers Inc. Common Stock	RRGB
Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest	GBAB
Eagle Pharmaceuticals Inc. Common Stock	EGRX
Fortress Capital Acquisition Corp. Class A Ordinary Shares	FCAX
DBV Technologies S.A. American Depositary Shares	DBVT
Reliant Bancorp Inc. Common Stock	RBNC
Bright Scholar Education Holdings Limited American Depositary Shares each representing one Class A Ordinary Share	BEDU
Willdan Group Inc. Common Stock	WLDN
Pulse Biosciences Inc Common Stock (DE)	PLSE
Investindustrial Acquisition Corp. Class A Ordinary Shares	IIAC
The ExOne Company Common Stock	XONE
TriplePoint Venture Growth BDC Corp. Common Stock	TPVG
Hooker Furniture Corporation Common Stock	HOFT
Chicken Soup for the Soul Entertainment Inc. Class A Common Stock	CSSE
Chicken Soup for the Soul Entertainment Inc. 9.50% Notes due 2025	CSSEN
Chicken Soup for the Soul Entertainment Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock	CSSEP
American Superconductor Corporation Common Stock	AMSC
PAVmed Inc. Common Stock	PAVM
Daseke Inc. Common Stock	DSKE
Bridgewater Bancshares Inc. Common Stock	BWB
HBT Financial Inc. Common Stock	HBT
Molecular Templates Inc. Common Stock	MTEM
Farmers National Banc Corp. Common Stock	FMNB
Computer Programs and Systems Inc. Common Stock	CPSI
HomeTrust Bancshares Inc. Common Stock	HTBI
Accelerate Acquisition Corp. Class A Common Stock	AAQC
Nanobiotix S.A. American Depositary Shares	NBTX
Electrameccanica Vehicles Corp. Ltd. Common Stock	SOLO
AEA-Bridges Impact Corp. Class A Ordinary Shares	IMPX
Putnam Premier Income Trust Common Stock	PPT
CalAmp Corp. Common Stock	CAMP
Corner Growth Acquisition Corp. Class A Ordinary Shares	COOL
Corner Growth Acquisition Corp. Unit	COOLU
Gladstone Investment Corporation 5.00% Notes Due 2026	GAINN
Gladstone Investment Corporation 6.375% Series E Cumulative Term Preferred Stock due 2025	GAINL
Gladstone Investment Corporation Business Development Company	GAIN
West Bancorporation Common Stock	WTBA
TLG Acquisition One Corp. Class A Common Stock	TLGA
TeklaLife Sciences Investors Common Stock	HQL
DZS Inc. Common Stock	DZSI
Resources Connection Inc. Common Stock	RGP
Concrete Pumping Holdings Inc. Common Stock	BBCP
Clearwater Paper Corporation Common Stock	CLW
Putnam Municipal Opportunities Trust Common Stock	PMO
Virtus Total Return Fund Inc.	ZTR
DWS Municipal Income Trust	KTF
RBB Bancorp Common Stock	RBB
Apex Technology Acquisition Corporation Class A Common Stock	APXT
Apex Technology Acquisition Corporation Unit	APXTU
Hemisphere Media Group Inc. Class A Common Stock	HMTV
AMMO Inc. Common Stock	POWW
AMMO Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock	POWWP
Accelerate Diagnostics Inc. Common Stock	AXDX
Soliton Inc. Common Stock	SOLY
Rice Acquisition Corp. Class A Common Stock	RICE
Advent Technologies Holdings Inc. Class A Common Stock	ADN
Atomera Incorporated Common Stock	ATOM
Vaccitech plc American Depositary Shares	VACC
TherapeuticsMD Inc. Common Stock	TXMD
Aptose Biosciences Inc. Common Shares	APTO
Tetra Technologies Inc. Common Stock	TTI
Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock	MUJ
AgEagle Aerial Systems Inc. Common Stock	UAVS
Miller Industries Inc. Common Stock	MLR
Mudrick Capital Acquisition Corporation II Class A Common Stock	MUDS
Mudrick Capital Acquisition Corporation II Unit	MUDSU
Vishay Precision Group Inc. Common Stock	VPG
Rekor Systems Inc. Common Stock	REKR
Landos Biopharma Inc. Common Stock	LABP
Banco Latinoamericano de Comercio Exterior S.A.	BLX
Equity Bancshares Inc. Class A Common Stock	EQBK
Qell Acquisition Corp. Unit	QELLU
Qell Acquisition Corp. Class A Ordinary Shares	QELL
Legacy Housing Corporation Common Stock (TX)	LEGH
BlackRock California Municipal Income Trust	BFZ
Donegal Group Inc. Class A Common Stock	DGICA
Donegal Group Inc. Class B Common Stock	DGICB
Perpetua Resources Corp. Common Shares	PPTA
Oil States International Inc. Common Stock	OIS
Unifi Inc. New Common Stock	UFI
Luokung Technology Corp Ordinary Shares	LKCO
Oyster Point Pharma Inc. Common Stock	OYST
Tech and Energy Transition Corporation Class A Common Stock	TETC
Tech and Energy Transition Corporation Unit	TETCU
Gores Technology Partners II Inc. Class A Common Stock	GTPB
Gores Technology Partners II Inc. Units	GTPBU
IRSA Inversiones Y Representaciones S.A. Common Stock	IRS
Blackrock Floating Rate Income Strategies Fund Inc Common Stock	FRA
Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock	AEF
NextGen Acquisition Corporation Class A Ordinary Shares	NGAC
NextGen Acquisition Corporation Units	NGACU
ASA Gold and Precious Metals Limited	ASA
Lineage Cell Therapeutics Inc. Common Stock	LCTX
Park-Ohio Holdings Corp. Common Stock	PKOH
Fifth Wall Acquisition Corp. I Class A Common Stock	FWAA
Haynes International Inc. Common Stock	HAYN
Tilly's Inc. Common Stock	TLYS
Nuveen New York Quality Municipal Income Fund Common Stock	NAN
Acutus Medical Inc. Common Stock	AFIB
Cornerstone Total Return Fund Inc. (The) Common Stock	CRF
Barnes & Noble Education Inc Common Stock	BNED
R.R. Donnelley & Sons Company Common Stock	RRD
Marquee Raine Acquisition Corp. Class A Ordinary Shares	MRAC
Marquee Raine Acquisition Corp. Unit	MRACU
BiomX Inc. COmmon Stock	PHGE
Motorcar Parts of America Inc. Common Stock	MPAA
Black Diamond Therapeutics Inc. Common Stock	BDTX
North Atlantic Acquisition Corporation Class A Ordinary Share	NAAC
North Atlantic Acquisition Corporation Unit	NAACU
WiMi Hologram Cloud Inc. American Depositary Share	WIMI
Avadel Pharmaceuticals plc American Depositary Shares	AVDL
RAPT Therapeutics Inc. Common Stock	RAPT
Eaton Vance Tax-Advantage Global Dividend Opp Common Stock	ETO
Blackrock MuniYield Michigan Quality Fund Inc. Common Stock	MIY
ShotSpotter Inc. Common Stock	SSTI
Primavera Capital Acquisition Corporation Class A Ordinary Shares	PV
Daily Journal Corp. (S.C.) Common Stock	DJCO
Fathom Holdings Inc. Common Stock	FTHM
AC Immune SA Common Stock	ACIU
Inotiv Inc. Common Stock	NOTV
Blackrock MuniHoldings New York Quality Fund Inc. Common Stock	MHN
Ooma Inc. Common Stock	OOMA
Leo Holdings Corp. II Class A Ordinary Shares	LHC
Puma Biotechnology Inc Common Stock	PBYI
Corvus Gold Inc. Common Shares	KOR
Bluegreen Vacations Holding Corporation Class A Common Stock	BVH
Benefitfocus Inc. Common Stock	BNFT
OncoCyte Corporation Common Stock	OCX
Global Indemnity Group LLC Class A Common Stock (DE)	GBLI
Global Indemnity Group LLC 7.875% Subordinated Notes due 2047	GBLIL
PennantPark Investment Corporation Common Stock	PNNT
PennantPark Investment Corporation 5.50% Notes Due 2024	PNNTG
Evogene Ltd Ordinary Shares	EVGN
John Hancock Pfd Income Fund II Pfd Income Fund II	HPF
Vertex Energy Inc Common Stock	VTNR
Immutep Limited American Depositary Shares	IMMP
FutureFuel Corp. Common shares	FF
Outlook Therapeutics Inc. Common Stock	OTLK
GigCapital4 Inc. Unit	GIGGU
GigCapital4 Inc. Common stock	GIG
Paratek Pharmaceuticals Inc. Common Stock	PRTK
Guaranty Bancshares Inc. Common Stock	GNTY
Gritstone bio Inc. Common Stock	GRTS
Bank of Marin Bancorp Common Stock	BMRC
Alta Equipment Group Inc. Class A Common Stock	ALTG
MetroCity Bankshares Inc. Common Stock	MCBS
Bar Harbor Bankshares Inc. Common Stock	BHB
Akouos Inc. Common Stock	AKUS
Autolus Therapeutics plc American Depositary Share	AUTL
AXT Inc Common Stock	AXTI
Inventiva S.A. American Depository Shares	IVA
Hersha Hospitality Trust Class A Common Shares of Beneficial Interest	HT
Ascendant Digital Acquisition Corp. Class A Ordinary Shares	ACND
Franklin Covey Company Common Stock	FC
Provention Bio Inc. Common Stock	PRVB
Geron Corporation Common Stock	GERN
H.I.G. Acquisition Corp. Class A Ordinary Shares	HIGA
FinServ Acquisition Corp. Class A Common Stock	FSRV
FinServ Acquisition Corp. Unit	FSRVU
Capital City Bank Group Common Stock	CCBG
CytomX Therapeutics Inc. Common Stock	CTMX
MedAvail Holdings Inc. Common Stock	MDVL
PIMCO Income Strategy Fund Shares of Beneficial Interest	PFL
American Outdoor Brands Inc. Common Stock	AOUT
International General Insurance Holdings Ltd. Ordinary Share	IGIC
Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest	ETB
GreenPower Motor Company Inc. Common Shares	GP
iCAD Inc. Common Stock	ICAD
Profound Medical Corp. Common Stock	PROF
ANI Pharmaceuticals Inc.	ANIP
Star Group L.P. Common Stock	SGU
Alto Ingredients Inc. Common Stock	ALTO
Burgundy Technology Acquisition Corporation Unit	BTAQU
Burgundy Technology Acquisition Corporation Class A Ordinary shares	BTAQ
Seneca Foods Corp. Class A Common Stock	SENEA
Seneca Foods Corp. Class B Common Stock	SENEB
Falcon Minerals Corporation Class A Common Stock	FLMN
Fusion Acquisition Corp. Class A Common Stock	FUSE
UNIVERSAL INSURANCE HOLDINGS INC Common Stock	UVE
JOFF Fintech Acquisition Corp. Unit	JOFFU
JOFF Fintech Acquisition Corp. Class A Common Stock	JOFF
Athenex Inc. Common Stock	ATNX
Angion Biomedica Corp. Common Stock	ANGN
Thunder Bridge Acquisition II Ltd. Class A Ordinary Shares	THBR
Thunder Bridge Acquisition II Ltd. Units	THBRU
UFP Technologies Inc. Common Stock	UFPT
Diana Shipping inc. common stock	DSX
Periphas Capital Partnering Corporation Class A Common Stock	PCPC
Burcon NutraScience Corp. Common Stock	BRCN
VectoIQ Acquisition Corp. II Class A Common Stock	VTIQ
VectoIQ Acquisition Corp. II Unit	VTIQU
Fidus Investment Corporation Common Stock	FDUS
Fidus Investment Corporation 6% Notes due 2024	FDUSZ
Kandi Technologies Group Inc Common Stock	KNDI
Tonix Pharmaceuticals Holding Corp. Common Stock	TNXP
Tortoise Acquisition Corp. II Class A Ordinary Shares	SNPR
Fortress Value Acquisition Corp. II Class A Common Stock	FAII
Falcon Capital Acquisition Corp. Class A Common Stock	FCAC
Falcon Capital Acquisition Corp. Unit	FCACU
MFS Intermediate Income Trust Common Stock	MIN
Jaws Spitfire Acquisition Corporation Class A Ordinary Shares	SPFR
Lux Health Tech Acquisition Corp. Class A Common Stock	LUXA
Lux Health Tech Acquisition Corp. Units	LUXAU
Spartan Acquisition Corp. II Class A Common Stock	SPRQ
RMG Acquisition Corp. II Unit	RMGBU
RMG Acquisition Corp. II Class A Ordinary Shares	RMGB
Centricus Acquisition Corp. Unit	CENHU
Centricus Acquisition Corp. Class A Ordinary Share	CENH
Bluelinx Holdings Inc. Common Stock	BXC
D8 Holdings Corp. Class A Ordinary Shares	DEH
Enterprise Bancorp Inc Common Stock	EBTC
Capitol Investment Corp. V Class A Common Stock	CAP
BIT Mining Limited ADS	BTCM
AllianceBernstein National Municipal Income Fund Inc	AFB
Power & Digital Infrastructure Acquisition Corp. Unit	XPDIU
Power & Digital Infrastructure Acquisition Corp. Class A Common Stock	XPDI
Southern First Bancshares Inc. Common Stock	SFST
Vera Bradley Inc. Common Stock	VRA
Altimar Acquisition Corp. II Class A Ordinary Shares	ATMR
Flexion Therapeutics Inc. Common Stock	FLXN
Sierra Bancorp Common Stock	BSRR
North American Construction Group Ltd. Common Shares (no par)	NOA
Alexco Resource Corp Common Shares (Canada)	AXU
Atlas Crest Investment Corp. II Class A Common Stock	ACII
Freedom Acquisition I Corp. Class A Ordinary Shares	FACT
ProQR Therapeutics N.V. Ordinary Shares	PRQR
Colicity Inc. Class A Common Stock	COLI
Colicity Inc. Units	COLIU
Thunder Bridge Capital Partners III Inc. Class A Common Stock	TBCP
Thunder Bridge Capital Partners III Inc. Units	TBCPU
Spero Therapeutics Inc. Common Stock	SPRO
Simon Property Group Acquisition Holdings Inc. Class A Common Stock	SPGS
Yucaipa Acquisition Corporation Class A Ordinary Shares	YAC
Landsea Homes Corporation Common Stock	LSEA
East Resources Acquisition Company Unit	ERESU
East Resources Acquisition Company Class A Common Stock	ERES
NexImmune Inc. Common Stock	NEXI
South Plains Financial Inc. Common Stock	SPFI
TravelCenters of America Inc. Common Stock	TA
TravelCenters of America Inc. 8.00% Senior Notes due 2030	TANNZ
TravelCenters of America Inc. 8.25% Senior Notes due 2028	TANNI
TravelCenters of America Inc. 8.00% Senior Notes due 2029	TANNL
DiamondHead Holdings Corp. Unit	DHHCU
DiamondHead Holdings Corp. Class A Common Stock	DHHC
Quotient Limited Ordinary Shares	QTNT
BioLineRx Ltd. American Depositary Shares	BLRX
Oncorus Inc. Common Stock	ONCR
Pine Technology Acquisition Corp. Unit	PTOCU
Pine Technology Acquisition Corp. Class A Common Stock	PTOC
Cohen & Steers Total Return Realty Fund Inc. Common Stock	RFI
Anzu Special Acquisition Corp I Class A Common Stock	ANZU
Anzu Special Acquisition Corp I Units	ANZUU
BeyondSpring Inc. Ordinary Shares	BYSI
ScION Tech Growth II Class A Ordinary Shares	SCOB
ScION Tech Growth II Units	SCOBU
Queen's Gambit Growth Capital Class A Ordinary Share	GMBT
Queen's Gambit Growth Capital Unit	GMBTU
Guggenheim Enhanced Equity Income Fund	GPM
Intrepid Potash Inc Common Stock	IPI
Neoleukin Therapeutics Inc. Common Stock	NLTX
Century Casinos Inc. Common Stock	CNTY
Century Bancorp Inc. Class A Common Stock	CNBKA
Cue Biopharma Inc. Common Stock	CUE
Poema Global Holdings Corp. Class A Ordinary Share	PPGH
Poema Global Holdings Corp. Unit	PPGHU
Putnam Managed Municipal Income Trust Common Stock	PMM
Golden Falcon Acquisition Corp. Class A Common Stock	GFX
Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock	EDD
Transcat Inc. Common Stock	TRNS
Diamond S Shipping Inc. Common Stock	DSSI
Jack Creek Investment Corp. Class A Ordinary Shares	JCIC
Jack Creek Investment Corp. Units	JCICU
Peridot Acquisition Corp. Class A Ordinary Shares	PDAC
ClearBridge MLP and Midstream Fund Inc. Common Stock	CEM
EZCORP Inc. Class A Non Voting Common Stock	EZPW
Aviat Networks Inc. Common Stock	AVNW
Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest	BYM
Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares	BQ
Tailwind Acquisition Corp. Class A Common Stock	TWND
NI Holdings Inc. Common Stock	NODK
UTime Limited Ordinary Shares	UTME
CBRE Acquisition Holdings Inc. Class A Common Stock	CBAH
PIMCO Municipal Income Fund III Common Shares of Beneficial Interest	PMX
Spirit of Texas Bancshares Inc. Common Stock	STXB
Figure Acquisition Corp. I Class A Common Stock	FACA
Calamos Long/Short Equity & Dynamic Income Trust Common Stock	CPZ
Marlin Technology Corporation Unit	FINMU
Marlin Technology Corporation Class A Ordinary Share	FINM
Liberty TripAdvisor Holdings Inc. Series B Common Stock	LTRPB
Liberty TripAdvisor Holdings Inc. Series A Common Stock	LTRPA
Viking Therapeutics Inc. Common Stock	VKTX
Executive Network Partnering Corporation Class A Common Stock	ENPC
Fluidigm Corporation Common Stock	FLDM
Five Star Bancorp Common Stock	FSBC
Torchlight Energy Resources Inc. Common Stock	TRCH
Nuveen Enhanced Municipal Value Fund Common Shares of Beneficial Interest	NEV
Colonnade Acquisition Corp. II Class A Ordinary Shares	CLAA
CNB Financial Corporation Common Stock	CCNE
CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock	CCNEP
Nature's Sunshine Products Inc. Common Stock	NATR
Gabelli Utility Trust (The) Common Stock	GUT
TS Innovation Acquisitions Corp. Unit	TSIAU
TS Innovation Acquisitions Corp. Class A Common Stock	TSIA
Sientra Inc. Common Stock	SIEN
Western Copper and Gold Corporation Common Stock	WRN
Karat Packaging Inc. Common Stock	KRT
Vector Acquisition Corporation Class A Common Stock	VACQ
Vector Acquisition Corporation Unit	VACQU
BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock	DSM
Farmland Partners Inc. Common Stock	FPI
America First Multifamily Investors L.P. Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests	ATAX
Accuray Incorporated Common Stock	ARAY
Tejon Ranch Co Common Stock	TRC
Powell Industries Inc. Common Stock	POWL
Theratechnologies Inc. Common Shares	THTX
Arcimoto Inc. Common Stock	FUV
Climate Change Crisis Real Impact I Acquisition Corporation Class A Common Stock	CLII
CC Neuberger Principal Holdings III Class A Ordinary Shares	PRPC
Old Second Bancorp Inc. Common Stock	OSBC
Terns Pharmaceuticals Inc. Common Stock	TERN
AquaBounty Technologies Inc. Common Stock	AQB
Casper Sleep Inc. Common Stock	CSPR
Quantum Corporation Common Stock	QMCO
Healthcare Services Acquisition Corporation Unit	HCARU
Healthcare Services Acquisition Corporation Class A Common Stock	HCAR
UroGen Pharma Ltd. Ordinary Shares	URGN
Hall of Fame Resort & Entertainment Company Common Stock	HOFV
Southern Missouri Bancorp Inc. Common Stock	SMBC
RiverNorth Managed Duration Municipal Income Fund Inc. Common Stock	RMM
Clough Global Opportunities Fund Common Stock	GLO
LiveXLive Media Inc. Common Stock	LIVX
Solid Biosciences Inc. Common Stock	SLDB
Jounce Therapeutics Inc. Common Stock	JNCE
BlackRock Income Trust Inc. (The)	BKT
M3-Brigade Acquisition II Corp. Class A Common Stock	MBAC
Global Water Resources Inc. Common Stock	GWRS
Retail Value Inc. Common Stock	RVI
First Trust Enhanced Equity Income Fund	FFA
Rocky Brands Inc. Common Stock	RCKY
Citizens & Northern Corp Common Stock	CZNC
Adams Natural Resources Fund Inc. Common Stock	PEO
Bit Digital Inc. Ordinary Shares	BTBT
Zix Corporation Common Stock	ZIXI
Alpha Metallurgical Resources Inc. Common Stock	AMR
9F Inc. American Depositary Shares	JFU
Osprey Technology Acquisition Corp. Class A Common Stock	SFTW
Aemetis Inc. Common Stock	AMTX
MDC Partners Inc. CL A Subordinate Voting Shares	MDCA
Safe Bulkers Inc Common Stock ($0.001 par value)	SB
National CineMedia Inc. Common Stock	NCMI
Gladstone Capital Corporation Common Stock	GLAD
Gladstone Capital Corporation 5.375% Notes due 2024	GLADL
MISONIX Inc. Common Stock (DE)	MSON
Red River Bancshares Inc. Common Stock	RRBI
Foresight Acquisition Corp. Class A Common Stock	FORE
Foresight Acquisition Corp. Units	FOREU
DURECT Corporation Common Stock	DRRX
Adicet Bio Inc. Common Stock	ACET
Templeton Emerging Markets Income Fund Inc. Common Stock	TEI
Virtus AllianzGI Convertible & Income Fund II Common Shares of Beneficial Interest	NCZ
Mereo BioPharma Group plc American Depositary Shares	MREO
Limelight Networks Inc. Common Stock	LLNW
Superior Group of Companies Inc. Common Stock	SGC
Switchback II Corporation Class A Ordinary Shares	SWBK
Foghorn Therapeutics Inc. Common Stock	FHTX
Inozyme Pharma Inc. Common Stock	INZY
Constellation Acquisition Corp I Class A Ordinary Shares	CSTA
PlayAGS Inc. Common Stock	AGS
Invesco Municipal Income Opportunities Trust Common Stock	OIA
IBEX Limited Common Shares	IBEX
Yunji Inc. American Depository Shares	YJ
CBAK Energy Technology Inc. Common Stock	CBAT
Spark Energy Inc. Class A Common Stock	SPKE
Spark Energy Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock	SPKEP
DSP Group Inc. Common Stock	DSPG
Cohen & Steers Closed-End Opportunity Fund Inc. Common Stock	FOF
Nuveen Floating Rate Income Opportuntiy Fund Shares of Beneficial Interest	JRO
Trinity Capital Inc. Common Stock	TRIN
MFS Multimarket Income Trust Common Stock	MMT
Haymaker Acquisition Corp. III Unit	HYACU
Blackrock MuniYield New Jersey Fund Inc Common Stock	MYJ
VOXX International Corporation Class A Common Stock	VOXX
MFS Charter Income Trust Common Stock	MCR
FTS International Inc. Class A Common Stock	FTSI
First Choice Bancorp Common Stock	FCBP
Source Capital Inc. Common Stock	SOR
Mayville Engineering Company Inc. Common Stock	MEC
Commercial Vehicle Group Inc. Common Stock	CVGI
Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock	FBIOP
Fortress Biotech Inc. Common Stock	FBIO
comScore Inc. Common Stock	SCOR
Sustainable Development Acquisition I Corp. Unit	SDACU
Sustainable Development Acquisition I Corp. Class A Common Stock	SDAC
Olympic Steel Inc. Common Stock	ZEUS
InfuSystems Holdings Inc. Common Stock	INFU
PIMCO Municipal Income Fund Common Stock	PMF
Artesian Resources Corporation Class A Common Stock	ARTNA
Primis Financial Corp. Common Stock	FRST
